"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
2.330060833E0;-1.634104609E0;-5.060889125E-1;-1.503915638E-1;1.717277346E0
2.339982833E0;-1.648228645E0;-5.683866739E-1;-7.980916649E-2;1.745305297E0
2.349904833E0;-1.661244631E0;-6.081830859E-1;-3.856346011E-2;1.769493580E0
2.359827833E0;-1.667568684E0;-5.646432042E-1;-1.170101110E-2;1.760609036E0
2.369749833E0;-1.631452680E0;-4.713726640E-1;2.157625183E-2;1.698321397E0
2.379671833E0;-1.544124246E0;-3.567383289E-1;8.510929346E-2;1.587080815E0
2.389593833E0;-1.419100523E0;-1.691361964E-1;1.711046249E-1;1.439350597E0
2.399516833E0;-1.286848187E0;7.313141972E-2;2.444957048E-1;1.311908767E0
2.409438833E0;-1.164281011E0;2.223163843E-1;2.915489674E-1;1.220645586E0
2.419360833E0;-1.047675848E0;3.202009201E-1;3.298038542E-1;1.144082119E0
2.429283833E0;-9.106727839E-1;4.160483479E-1;3.605950475E-1;1.064166310E0
2.439205833E0;-7.712888122E-1;4.481625557E-1;3.933328688E-1;9.749086387E-1
2.449127833E0;-6.214959025E-1;4.285323918E-1;3.823893964E-1;8.462380387E-1
2.459049833E0;-4.802066088E-1;3.849508464E-1;3.589524031E-1;7.124832412E-1
2.468972833E0;-3.355287910E-1;3.570902050E-1;3.137398958E-1;5.818296196E-1
2.478894833E0;-1.799082309E-1;3.732781112E-1;2.379756421E-1;4.778450859E-1
2.488816833E0;-2.017981745E-2;3.589471281E-1;1.481701136E-1;3.888504190E-1
2.498739833E0;1.337427348E-1;2.979281843E-1;8.837164938E-2;3.383162286E-1
2.508661833E0;2.629593015E-1;2.536725700E-1;6.240130216E-2;3.706633102E-1
2.518583833E0;3.713126481E-1;2.505019903E-1;4.942225292E-2;4.506294363E-1
2.528505833E0;4.663371742E-1;2.595682144E-1;3.621963039E-2;5.349372670E-1
2.538428833E0;5.668705702E-1;2.639036179E-1;2.334442735E-2;6.257254391E-1
2.548350833E0;6.796791553E-1;2.401836365E-1;1.337914448E-2;7.209930201E-1
2.558272833E0;7.929531932E-1;2.118391395E-1;4.713861272E-4;8.207623345E-1
2.568195833E0;9.102166891E-1;1.870941073E-1;-8.052593097E-3;9.292811579E-1
2.578117833E0;1.048936009E0;2.172608376E-1;-4.476607777E-3;1.071209159E0
2.588039833E0;1.250918627E0;3.277820349E-1;-7.902497426E-3;1.293174746E0
2.597961833E0;1.544062495E0;5.691215396E-1;-4.666634649E-2;1.646270350E0
2.607884833E0;1.895640492E0;8.449938893E-1;-1.004193276E-1;2.077871890E0
2.617806833E0;2.252645493E0;1.096647024E0;-1.344120353E-1;2.509006378E0
2.627728833E0;2.592528582E0;1.226553321E0;-1.410726011E-1;2.871504653E0
2.637651833E0;2.867389202E0;1.154877305E0;-1.231614128E-1;3.093675995E0
2.647573833E0;3.067625523E0;9.249892831E-1;-8.922208846E-2;3.205291266E0
2.657495833E0;3.212694883E0;6.835547090E-1;-4.344630241E-2;3.284896198E0
2.667417833E0;3.341856241E0;5.079160333E-1;2.083121985E-2;3.380298178E0
2.677340833E0;3.458848953E0;3.766568303E-1;1.183237061E-1;3.481308224E0
2.687262833E0;3.543570518E0;3.346558213E-1;2.181032896E-1;3.566013963E0
2.697184833E0;3.607741833E0;2.950585186E-1;2.821954489E-1;3.630770570E0
2.707107833E0;3.635956526E0;2.112205923E-1;3.149177134E-1;3.655676020E0
2.717029833E0;3.608913898E0;3.589988127E-2;3.253759146E-1;3.623729821E0
2.726951833E0;3.517713308E0;-3.192749918E-1;3.226078153E-1;3.546874574E0
2.736873833E0;3.407467127E0;-6.777678728E-1;2.680421770E-1;3.484544177E0
2.746796833E0;3.258515120E0;-8.843109608E-1;1.541654021E-1;3.379895506E0
2.756718833E0;3.061174631E0;-8.833587170E-1;5.088955536E-2;3.186487485E0
2.766640833E0;2.831826210E0;-7.654280663E-1;-1.172429323E-2;2.933471879E0
2.776563833E0;2.590689898E0;-5.557323694E-1;-2.706363238E-2;2.649763207E0
2.786485833E0;2.347968817E0;-3.508468568E-1;-4.635903239E-2;2.374489470E0
2.796407833E0;2.104427338E0;-1.740430892E-1;-7.233200967E-2;2.112850524E0
2.806330833E0;1.874967217E0;-9.179535508E-2;-1.179085523E-1;1.880912247E0
2.816252833E0;1.665580750E0;-4.798600078E-2;-1.996977627E-1;1.678195783E0
2.826174833E0;1.489467502E0;-2.050776966E-2;-2.371918857E-1;1.508374621E0
2.836096833E0;1.358357191E0;6.038540974E-2;-2.076043338E-1;1.375456366E0
2.846019833E0;1.283797264E0;1.674442291E-1;-1.649245173E-1;1.305133358E0
2.855941833E0;1.263210893E0;2.189755291E-1;-1.324332654E-1;1.288871837E0
2.865863833E0;1.264422417E0;2.741639316E-1;-8.781465888E-2;1.296781139E0
2.875786833E0;1.262879968E0;3.017584085E-1;-3.559511155E-2;1.298919151E0
2.885708833E0;1.264377952E0;2.833330631E-1;2.346900664E-2;1.295947539E0
2.895630833E0;1.271722794E0;1.285878271E-1;4.756524786E-2;1.279091922E0
2.905552833E0;1.279945016E0;-3.319707885E-2;6.116973981E-2;1.281835803E0
2.915475833E0;1.296672344E0;-5.901315436E-2;5.979621410E-2;1.299391130E0
2.925397833E0;1.283590913E0;-5.436513945E-2;4.325372353E-2;1.285469597E0
2.935319833E0;1.221831203E0;-2.377967909E-2;3.765251860E-2;1.222642496E0
2.945242833E0;1.107706428E0;-2.550567314E-2;2.451994084E-2;1.108271310E0
2.955164833E0;9.451197982E-1;2.532308176E-2;1.001512259E-2;9.455120275E-1
2.965086833E0;7.254161835E-1;6.397193670E-2;2.270561829E-2;7.285853368E-1
2.975008833E0;4.686812460E-1;6.842237711E-2;2.895267680E-2;4.745334441E-1
2.984931833E0;2.124068439E-1;7.538814098E-2;2.684158832E-2;2.269812988E-1
2.994853833E0;-2.704405598E-2;8.883373439E-2;2.026350610E-2;9.504432129E-2
3.004775833E0;-2.198787481E-1;9.419734031E-2;1.762564667E-2;2.398550942E-1
3.014698833E0;-3.463870585E-1;1.146215945E-1;8.008858189E-3;3.649469085E-1
3.024620833E0;-4.136230946E-1;1.680731028E-1;-1.486643101E-3;4.464693073E-1
3.034542833E0;-4.258091748E-1;2.196218073E-1;-6.450742483E-3;4.791542587E-1
3.044464833E0;-3.993474543E-1;2.679688334E-1;-1.197307371E-2;4.810707219E-1
