"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.159646875E0;6.768244211E-1;-4.017728586E-1;-2.552379799E0
2.169568875E0;3.551726695E-2;-9.456365660E-2;-2.590227072E0
2.179490875E0;-1.038880469E-1;-8.037056386E-2;-2.507783670E0
2.189412875E0;3.323721830E-2;-1.282155521E-1;-2.322144513E0
2.199334875E0;1.189229926E-1;-5.709674522E-2;-2.019559874E0
2.209255875E0;-1.099961489E-1;-1.867340478E-1;-1.679454821E0
2.219177875E0;-4.573287164E-1;-2.572254485E-1;-1.249907250E0
2.229099875E0;-2.156580492E-1;-2.517194179E-1;-7.664226222E-1
2.239021875E0;7.093283620E-1;-5.702568693E-1;-1.914360863E-1
2.248943875E0;1.061952669E0;-4.380324662E-1;3.346203643E-1
2.258865875E0;5.104724149E-1;2.016173313E-1;7.429057056E-1
2.268787875E0;-1.994786025E-1;6.283915684E-1;1.095827270E0
2.278709875E0;-6.235663730E-1;7.604002094E-1;1.475383487E0
2.288631875E0;-7.631012575E-1;6.511802875E-1;1.664327490E0
2.298553875E0;-6.790421239E-1;3.291069516E-1;1.585455567E0
2.308476750E0;-1.090814343E-1;3.212625463E-1;1.341123229E0
2.318398750E0;6.389464505E-1;6.043835588E-1;1.092440563E0
2.328320750E0;5.600082717E-1;3.517558490E-1;9.849389184E-1
2.338242750E0;-9.300597662E-2;1.094770532E-1;1.065038171E0
2.348163750E0;-6.572815646E-1;4.000808206E-1;1.140184833E0
2.358085750E0;-9.897523463E-1;1.915566851E-1;1.372159081E0
2.368007750E0;-1.102468318E0;-2.014654499E-1;1.552246306E0
2.377929750E0;-8.001940202E-1;-1.045603488E-1;1.684407998E0
2.387851750E0;1.961138954E-1;5.951003730E-3;1.735786312E0
2.397773750E0;1.099503049E0;-9.232110322E-2;1.643627177E0
2.407695750E0;1.403985329E0;-1.838163603E-1;1.565223616E0
2.417617750E0;9.276927768E-1;-4.405407755E-1;1.602646381E0
2.427539750E0;1.103055123E-1;-5.602400042E-1;1.588362803E0
2.437461750E0;-2.397538768E-1;-4.192286246E-1;1.730639008E0
2.447383750E0;-1.486702088E-1;-4.263062772E-1;2.071350417E0
2.457305750E0;3.690752653E-1;-3.979908796E-1;2.465390187E0
2.467227750E0;5.937789023E-1;-2.602668412E-1;2.824387009E0
2.477148750E0;5.652850184E-1;-4.071177619E-1;3.325293415E0
2.487070750E0;6.893344659E-1;-1.958331011E-1;3.445553684E0
2.496992750E0;-3.257668393E-2;3.257194768E-1;2.831004887E0
2.506914750E0;3.602596375E-1;-2.494035185E-1;3.434027068E0
2.516836750E0;1.330783342E-1;-5.575475076E-1;4.419105150E0
2.526758750E0;-1.699278344E-1;-8.037003762E-1;4.536466370E0
2.536680750E0;-9.503999271E-1;-2.386984361E-1;1.189068257E1
2.546602750E0;1.068927666E-1;1.468103265E0;1.292850956E0
2.556524750E0;3.053324651E-3;-6.176542532E-1;-2.208952943E0
2.566446750E0;6.316169657E-2;-1.139859874E0;-2.103111908E0
2.576368750E0;4.506598207E-1;2.697137855E-2;-1.304318515E0
2.586290750E0;-3.303455380E-1;-2.603374828E-1;4.450373136E0
2.596212750E0;-1.781300345E-1;1.641204529E-1;-2.347553589E0
2.606134750E0;3.829936850E-1;-3.004904955E-1;-1.452448368E-2
2.616056750E0;1.451371567E-1;-2.485753700E-1;4.593981922E-1
2.625977750E0;1.283106425E-1;1.096504962E-1;-3.516521341E-1
2.635899750E0;-3.129963376E-2;-1.722818504E-1;4.554197466E-1
2.645821750E0;3.134189816E-3;5.053024895E-2;9.780345261E-2
2.655743750E0;-3.117404653E-2;2.370424680E-3;5.195701343E-1
2.665665750E0;-3.317806092E-2;5.326714788E-2;2.849897826E-1
2.675587750E0;5.935426382E-3;3.573394284E-2;3.231709313E-1
2.685509750E0;2.147455730E-2;-2.054759089E-2;1.059568101E-1
2.695431750E0;3.433897077E-2;1.078957468E-3;6.069643736E-2
2.705353750E0;5.726705451E-2;-2.104263078E-2;2.199605584E-2
2.715275750E0;4.058446404E-2;2.088735066E-3;2.312749207E-2
2.725197750E0;1.906873869E-2;1.562712237E-2;2.549269080E-2
2.735119750E0;3.086005105E-2;2.332483560E-2;-6.417903900E-3
2.745041750E0;3.770971701E-2;-3.734371785E-2;7.408188343E-2
2.754963750E0;5.604415504E-2;-1.933831360E-2;5.340086639E-2
2.764885750E0;7.569218835E-2;-2.257317603E-3;1.167034078E-1
2.774806750E0;6.748708298E-2;1.292344294E-2;2.601122189E-1
2.784728750E0;6.623992670E-2;3.213918429E-2;3.348232627E-1
2.794650750E0;9.813325385E-2;1.051767915E-1;3.056672913E-1
2.804572750E0;6.538271027E-1;1.071055395E0;2.410432792E-1
2.814494750E0;8.850445014E-1;8.376329380E-1;1.990392208E-1
2.824416750E0;-2.762682402E-2;8.973250430E-2;1.353735673E-1
2.834338750E0;3.827460372E-2;1.110002237E0;-1.825442255E-2
2.844260750E0;3.114345828E-2;1.352355292E0;-1.156169951E-2
2.854182750E0;-1.221562653E-1;1.111836947E0;-1.505307198E-2
2.864104750E0;-1.178041827E-1;1.225519902E0;4.786530733E-3
2.874026750E0;-5.878914870E-2;1.252973384E0;3.598844290E-2
2.883948750E0;-1.195243970E-2;1.146349918E0;9.157909155E-2
2.893870750E0;-1.374611512E-1;1.138046141E0;1.658849233E-1
2.903792750E0;-1.585015162E-1;1.179967680E0;1.668637472E-1
2.913714750E0;-1.623485639E-1;1.142080939E0;1.740043670E-1
2.923635750E0;-2.083938522E-1;1.294727181E0;1.189165789E-1
2.933557750E0;-1.314058569E-1;1.206153705E0;9.168843448E-2
2.943479750E0;9.472729641E-2;1.190553479E0;6.789143622E-2
2.953401750E0;2.304067919E-1;1.148621561E0;2.073831975E-2
2.963323750E0;2.137861362E-1;1.119313635E0;-4.566792369E-2
2.973245750E0;2.657205940E-2;1.185088306E0;-9.963304639E-2
2.983167750E0;-1.048641848E-1;1.201227425E0;1.061497682E-1
2.993089750E0;3.573596195E-2;9.991761576E-1;-1.381433934E-1
3.003011750E0;1.470624347E-1;8.827519543E-1;4.963058174E-2
3.012933750E0;2.440337280E-1;7.999656133E-1;8.484894633E-3
3.022855750E0;2.517203315E-1;6.800022367E-1;2.727843046E-2
3.032777750E0;7.135498873E-2;7.309752660E-1;1.502728575E-1
3.042699750E0;-4.272654581E-2;6.054574365E-1;1.874997407E-1
3.052621750E0;-4.079432426E-2;4.012724101E-1;2.295388824E-1
3.062543750E0;-2.693773148E-1;1.883812450E-1;2.415046245E-1
3.072464750E0;-5.328143701E-1;1.658961061E-1;1.790955377E-1
3.082386750E0;-3.762296991E-1;5.101909080E-1;9.289529979E-2
3.092308750E0;-1.135674546E-1;6.419605440E-1;9.529382765E-2
3.102230750E0;2.621251959E-3;6.140199164E-1;-3.958038747E-2
3.112152750E0;2.502909065E-1;4.728578979E-1;-1.648914814E-1
3.122074750E0;5.627909617E-1;5.290268362E-2;-2.264275789E-1
3.131996750E0;7.503680684E-1;1.304482749E-1;-2.552180994E-1
3.141918750E0;3.269568207E-1;7.343963988E-2;-1.098645043E-1
3.151840750E0;-3.306464504E-1;-7.561223133E-1;3.494354546E-2
3.161762750E0;-5.547100000E-1;-1.518729847E-1;2.538130134E-1
3.171684750E0;-9.320911986E-1;1.189780551E0;4.892166531E-1
3.181606750E0;-8.877098816E-1;1.168434486E-1;6.112176383E-1
3.191528750E0;5.644806060E-2;-3.935128991E-1;1.043646133E-1
3.201450750E0;1.053024628E0;-3.544479802E-2;1.110795557E-1
3.211372750E0;1.377181108E0;-2.246016397E-1;-5.665133357E-2
3.221294750E0;1.058945153E0;-7.593213250E-1;2.921023357E-1
3.231215750E0;2.355961227E-1;-7.130792778E-1;-1.387532580E-1
3.241137750E0;-3.525811104E-1;-5.725835130E-1;-4.305176246E-1
3.251059750E0;-9.992963909E-1;-1.458739387E0;1.262267679E-1
3.260981750E0;-1.351488735E0;-2.228525913E-1;2.425372428E-1
3.270903750E0;-1.502078511E0;8.092750385E-1;2.210189044E-1
3.280825750E0;-5.689208902E-1;-1.551207402E0;1.918676108E-1
3.290747750E0;1.105821331E0;-2.086283475E0;1.672560954E-1
3.300669750E0;1.639060501E0;-1.394976378E0;-1.551324785E-2
3.310591625E0;7.532436559E-1;-1.673204440E0;7.472449243E-2
3.320513625E0;-9.627612334E-2;-1.594548718E0;1.388842356E-1
3.330435625E0;-3.381906742E-1;-6.116823823E-1;1.615433657E-1
